,get angry easily (1983),get angry easily (1988),get angry easily (1992),get angry easily (2000),jealousy (1983),jealousy (1988),jealousy (1992),jealousy (2000),not home enough (1983),not home enough (1988),not home enough (1992),not home enough (2000),not talking (1983),not talking (1988),not talking (1992),not talking (2000),sex with others (1983),sex with others (1988),sex with others (1992),sex with others (2000),marital_instability_1983_(1983),marital_instability_in_1988_(1988),marital_stability_1992_(1992),marital_instability_2000_(2000),income_combined_2000,income_combined_1992,income_combined_1988,income_combined_1983
226,NO,NO,NO,"YES, SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.6000000238418579,0.0,0.699999988079071,1.149999976158142,"\$50,000 - \$59,999","\$40,000 - \$49,999","\$30,000 - \$39,999","\$25,000 - \$29,999"
227,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.3000000119209289,0.0,0.0,0.0,"\$50,000 - \$59,999","\$20,000 - \$29,999","Under \$20,000","Under \$20,000"
229,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,NO,NO,NO,NO,NO,NO,NO,0.4799999892711639,0.3000000119209289,0.4799999892711639,0.0,"\$80,000 - \$89,999","\$40,000 - \$49,999","\$30,000 - \$39,999","\$20,000 - \$29,999"
230,NO,NO,NO,NO,NO,NO,NO,NO,YES SELF,NO,NO,NO,NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$80,000 - \$89,999","\$30,000 - \$39,999","Under \$20,000","Under \$20,000"
238,NO,NO,NO,BOTH,NO,"YES,SPOUSE","YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,BOTH,NO,NO,NO,NO,0.0,0.3000000119209289,0.3000000119209289,0.0,"\$50,000 - \$59,999","\$50,000 - \$59,999","\$30,000 - \$39,999","\$20,000 - \$29,999"
239,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BOTH,"YES,SELF",NO,NO,NO,NO,NO,NO,0.3000000119209289,0.0,0.6000000238418579,0.0,"\$100,000 or More","\$60,000 - \$69,999","\$50,000 - \$59,999","\$40,000 - \$49,999"
241,NO,NO,NO,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.3000000119209289,0.3000000119209289,0.3000000119209289,0.0,"\$30,000 - \$39,999","\$60,000 - \$69,999","\$50,000 - \$59,999","\$60,000 - \$69,999"
245,NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.3000000119209289,0.0,"\$60,000 - \$69,999","\$50,000 - \$59,999","\$50,000 - \$59,999","\$30,000 - \$39,999"
249,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SELF","YES, SELF",YES SELF,"YES,SELF","YES,SELF","YES, SELF",NO,NO,NO,NO,0.3000000119209289,0.4799999892711639,0.7799999713897705,0.0,"\$100,000 or More","\$50,000 - \$59,999","\$60,000 - \$69,999","\$50,000 - \$59,999"
250,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BOTH,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"Under \$20,000","Under \$20,000","Under \$20,000","\$30,000 - \$39,999"
259,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,"YES,SPOUSE","YES,SPOUSE",NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$40,000 - \$49,999","\$70,000 - \$79,999","\$50,000 - \$59,999","\$50,000 - \$59,999"
261,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE",NO,NO,NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,0.3000000119209289,0.0,0.949999988079071,0.0,"\$90,000 - \$99,999","\$60,000 - \$69,999","\$30,000 - \$39,999","\$30,000 - \$39,999"
264,YES SELF,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.3000000119209289,0.0,0.0,0.0,"\$90,000 - \$99,999","\$60,000 - \$69,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
270,NO,NO,NO,NO,NO,NO,NO,NO,YES SELF,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.8500000238418579,0.699999988079071,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$30,000 - \$39,999"
273,NO,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,"YES,SPOUSE","YES,SPOUSE","YES, SPOUSE",NO,NO,NO,NO,YES SELF,NO,NO,,1.0,0.699999988079071,1.0800000429153442,0.3000000119209289,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
274,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$70,000 - \$79,999","\$60,000 - \$69,999","\$50,000 - \$59,999","\$40,000 - \$49,999"
282,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE",NO,NO,NO,"YES,SELF","YES,SELF",NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$70,000 - \$79,999","\$40,000 - \$49,999","\$30,000 - \$39,999","\$30,000 - \$39,999"
284,YES SELF,"YES,SELF","YES,SELF","YES, SELF",NO,NO,BOTH,NO,NO,NO,NO,NO,YES SELF,"YES,SELF",NO,"YES, SELF",NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$30,000 - \$39,999","\$20,000 - \$29,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
286,BOTH,NO,NO,NO,YES SPOUSE,NO,NO,NO,YES SELF,NO,NO,NO,NO,BOTH,NO,NO,YES SELF,"YES,SELF",NO,NO,0.4799999892711639,0.7799999713897705,0.0,0.0,"\$40,000 - \$49,999","\$30,000 - \$39,999","\$30,000 - \$39,999","\$40,000 - \$49,999"
288,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.4799999892711639,0.0,0.0,0.0,"\$40,000 - \$49,999","\$80,000 - \$89,999","\$60,000 - \$69,999","\$40,000 - \$49,999"
291,YES SPOUSE,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BOTH,NO,NO,NO,NO,NO,0.0,0.3000000119209289,0.3000000119209289,0.3000000119209289,"\$60,000 - \$69,999","\$40,000 - \$49,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
292,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.4799999892711639,0.0,0.0,0.0,"Under \$20,000","\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
295,BOTH,"YES,SELF","YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.4799999892711639,0.0,0.7799999713897705,0.0,"\$100,000 or More","\$50,000 - \$59,999","\$50,000 - \$59,999","\$30,000 - \$39,999"
299,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$80,000 - \$89,999","\$80,000 - \$89,999","\$60,000 - \$69,999","\$40,000 - \$49,999"
305,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,,0.3000000119209289,0.3000000119209289,1.1100000143051147,0.3000000119209289,"\$60,000 - \$69,999","\$40,000 - \$49,999","\$30,000 - \$39,999","Under \$20,000"
307,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,BOTH,"YES,SPOUSE","YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,0.3000000119209289,0.0,0.3000000119209289,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$25,000 - \$29,999"
309,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,NO,NO,NO,NO,NO,NO,NO,0.0,0.3000000119209289,0.0,0.0,"\$40,000 - \$49,999","\$30,000 - \$39,999","\$30,000 - \$39,999","\$20,000 - \$29,999"
311,YES SELF,NO,"YES,SELF",NO,YES SPOUSE,NO,NO,NO,NO,NO,NO,NO,NO,BOTH,NO,NO,NO,NO,"YES,SELF",NO,0.3000000119209289,0.0,0.0,0.0,"\$25,000 - \$29,999","Under \$20,000","\$25,000 - \$29,999","\$25,000 - \$29,999"
312,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$70,000 - \$79,999","\$50,000 - \$59,999","\$30,000 - \$39,999","\$25,000 - \$29,999"
314,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$25,000 - \$29,999","\$30,000 - \$39,999","\$30,000 - \$39,999","\$30,000 - \$39,999"
316,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BOTH,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$20,000 - \$29,999","\$20,000 - \$29,999","Under \$20,000","Under \$20,000"
317,YES SELF,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES, SELF",NO,NO,NO,NO,0.0,0.0,0.0,0.0,"Under \$20,000","\$20,000 - \$29,999","\$25,000 - \$29,999","\$30,000 - \$39,999"
323,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,0.0,0.0,0.3000000119209289,0.0,"\$30,000 - \$39,999","\$20,000 - \$29,999","\$30,000 - \$39,999","\$30,000 - \$39,999"
325,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$70,000 - \$79,999","\$30,000 - \$39,999","\$30,000 - \$39,999","\$25,000 - \$29,999"
329,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SELF,NO,NO,NO,NO,NO,NO,NO,0.3000000119209289,0.0,0.0,0.0,"\$40,000 - \$49,999","\$30,000 - \$39,999","\$25,000 - \$29,999","\$20,000 - \$29,999"
332,BOTH,BOTH,BOTH,"YES, SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,BOTH,BOTH,BOTH,"YES, SELF",NO,NO,NO,NO,0.3000000119209289,0.3000000119209289,0.3000000119209289,0.3000000119209289,"\$20,000 - \$29,999","\$60,000 - \$69,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
341,YES SELF,"YES,SELF","YES,SELF","YES, SELF",NO,NO,NO,NO,NO,NO,NO,"YES, SELF",BOTH,NO,NO,NO,NO,NO,NO,NO,0.699999988079071,0.3000000119209289,0.699999988079071,0.0,"\$60,000 - \$69,999","\$25,000 - \$29,999","\$50,000 - \$59,999","\$30,000 - \$39,999"
343,YES SELF,"YES,SELF","YES,SELF","YES, SELF",YES SELF,BOTH,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.6000000238418579,0.6000000238418579,0.3000000119209289,0.0,"\$20,000 - \$29,999","\$25,000 - \$29,999","\$25,000 - \$29,999","\$25,000 - \$29,999"
352,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SELF","YES,SELF",NO,NO,"YES,SPOUSE",BOTH,NO,NO,NO,NO,NO,0.699999988079071,0.7799999713897705,0.699999988079071,0.0,"\$90,000 - \$99,999","\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
354,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.4799999892711639,0.0,0.0,0.0,"\$60,000 - \$69,999","\$40,000 - \$49,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
355,YES SELF,"YES,SPOUSE",BOTH,BOTH,NO,NO,NO,NO,NO,NO,BOTH,NO,YES SELF,NO,NO,"YES, SELF",NO,NO,NO,NO,0.4799999892711639,0.3000000119209289,0.3000000119209289,0.699999988079071,"\$40,000 - \$49,999","\$40,000 - \$49,999","\$40,000 - \$49,999","\$30,000 - \$39,999"
356,NO,"YES,SELF","YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"Under \$20,000","Under \$20,000","Under \$20,000","Under \$20,000"
357,NO,NO,NO,"YES, SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE","YES, SELF",NO,NO,NO,NO,0.0,0.0,0.4799999892711639,0.3000000119209289,"\$40,000 - \$49,999","\$30,000 - \$39,999","\$25,000 - \$29,999","\$30,000 - \$39,999"
358,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES, SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,0.3000000119209289,0.3000000119209289,0.3000000119209289,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$40,000 - \$49,999"
359,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$20,000 - \$29,999","\$20,000 - \$29,999","\$20,000 - \$29,999","\$30,000 - \$39,999"
363,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,NO,NO,NO,0.4799999892711639,0.4799999892711639,0.0,0.0,"\$50,000 - \$59,999","\$40,000 - \$49,999","\$30,000 - \$39,999","\$20,000 - \$29,999"
367,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$50,000 - \$59,999","\$40,000 - \$49,999","\$30,000 - \$39,999","\$20,000 - \$29,999"
374,YES SPOUSE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.3000000119209289,0.0,0.3000000119209289,0.0,"\$50,000 - \$59,999","\$20,000 - \$29,999","\$25,000 - \$29,999","\$20,000 - \$29,999"
380,NO,NO,NO,"YES, SPOUSE",NO,NO,NO,NO,YES SPOUSE,NO,NO,"YES, SPOUSE",YES SELF,NO,BOTH,"YES, SPOUSE",NO,NO,NO,NO,0.3000000119209289,0.699999988079071,1.0399999618530271,1.0,"\$50,000 - \$59,999","\$30,000 - \$39,999","\$25,000 - \$29,999","\$20,000 - \$29,999"
383,YES SELF,"YES,SELF","YES,SELF","YES, SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES, SELF",NO,NO,NO,"YES, SELF",0.0,0.8500000238418579,0.3000000119209289,0.0,"\$100,000 or More","\$50,000 - \$59,999","\$30,000 - \$39,999","\$30,000 - \$39,999"
384,NO,NO,NO,BOTH,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.8500000238418579,0.7799999713897705,0.3000000119209289,0.0,"\$100,000 or More","\$70,000 - \$79,999","\$60,000 - \$69,999","\$40,000 - \$49,999"
386,YES SPOUSE,NO,NO,NO,YES SPOUSE,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.3000000119209289,0.0,0.0,0.8999999761581421,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$50,000 - \$59,999"
387,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.3000000119209289,0.0,0.6000000238418579,"\$80,000 - \$89,999","\$80,000 - \$89,999","\$40,000 - \$49,999","\$25,000 - \$29,999"
389,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,0.0,0.3000000119209289,0.0,0.0,"\$60,000 - \$69,999","\$50,000 - \$59,999","\$50,000 - \$59,999","\$30,000 - \$39,999"
391,YES SPOUSE,"YES,SPOUSE",NO,BOTH,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.7799999713897705,0.8500000238418579,0.8999999761581421,0.3000000119209289,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$50,000 - \$59,999"
400,NO,NO,NO,"YES, SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,YES SELF,NO,"YES,SELF",NO,NO,NO,NO,NO,0.0,0.6000000238418579,0.6000000238418579,0.0,"\$30,000 - \$39,999","\$50,000 - \$59,999","\$30,000 - \$39,999","\$30,000 - \$39,999"
403,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.4799999892711639,0.0,0.0,"\$90,000 - \$99,999","\$50,000 - \$59,999","\$30,000 - \$39,999","Under \$20,000"
404,NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$40,000 - \$49,999","Under \$20,000","\$40,000 - \$49,999","\$30,000 - \$39,999"
411,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,0.6000000238418579,0.0,0.0,0.0,"\$70,000 - \$79,999","\$40,000 - \$49,999","\$30,000 - \$39,999","\$20,000 - \$29,999"
415,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$70,000 - \$79,999","\$50,000 - \$59,999","\$30,000 - \$39,999","\$30,000 - \$39,999"
421,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BOTH,NO,NO,NO,NO,NO,NO,NO,0.7799999713897705,0.6000000238418579,0.3000000119209289,0.0,"\$80,000 - \$89,999","\$50,000 - \$59,999","\$50,000 - \$59,999","\$30,000 - \$39,999"
426,YES SELF,NO,"YES,SPOUSE","YES, SPOUSE",NO,"YES,SPOUSE",NO,NO,YES SPOUSE,NO,NO,NO,NO,"YES,SPOUSE","YES,SPOUSE","YES, SPOUSE",NO,NO,NO,NO,0.949999988079071,0.0,0.699999988079071,0.0,"\$30,000 - \$39,999","\$30,000 - \$39,999","Under \$20,000","Under \$20,000"
437,NO,NO,NO,"YES, SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$30,000 - \$39,999","\$80,000 - \$89,999","\$30,000 - \$39,999","\$50,000 - \$59,999"
442,NO,NO,"YES,SELF",NO,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.3000000119209289,0.3000000119209289,0.3000000119209289,0.0,"\$60,000 - \$69,999","\$40,000 - \$49,999","\$40,000 - \$49,999","\$20,000 - \$29,999"
449,BOTH,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,"YES,SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.8999999761581421,0.0,0.0,0.0,"Under \$20,000","\$80,000 - \$89,999","\$40,000 - \$49,999","Under \$20,000"
452,YES SELF,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SELF",NO,YES SELF,"YES,SELF",NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"Under \$20,000","\$60,000 - \$69,999","\$25,000 - \$29,999","\$30,000 - \$39,999"
455,NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,YES SPOUSE,"YES,SPOUSE",NO,NO,NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,0.3000000119209289,0.4799999892711639,0.699999988079071,0.0,"\$25,000 - \$29,999","\$20,000 - \$29,999","\$25,000 - \$29,999","\$25,000 - \$29,999"
456,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$40,000 - \$49,999"
463,YES SPOUSE,"YES,SPOUSE","YES,SPOUSE","YES, SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.8999999761581421,0.699999988079071,0.4799999892711639,1.1100000143051147,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$40,000 - \$49,999"
467,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$50,000 - \$59,999","Under \$20,000","\$30,000 - \$39,999","\$30,000 - \$39,999"
469,NO,"YES,SELF","YES,SELF","YES, SELF",NO,"YES,SPOUSE","YES,SPOUSE","YES, SELF",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$70,000 - \$79,999","\$60,000 - \$69,999","\$40,000 - \$49,999","\$20,000 - \$29,999"
477,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES, SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,0.4799999892711639,0.3000000119209289,0.0,0.3000000119209289,"\$100,000 or More","\$80,000 - \$89,999","\$50,000 - \$59,999","\$30,000 - \$39,999"
479,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.8999999761581421,0.3000000119209289,0.0,0.0,"Under \$20,000","\$30,000 - \$39,999","\$25,000 - \$29,999","\$20,000 - \$29,999"
483,NO,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"YES,SPOUSE","YES,SPOUSE",,0.3000000119209289,0.3000000119209289,0.6000000238418579,0.0,"Under \$20,000","Under \$20,000","\$60,000 - \$69,999","\$50,000 - \$59,999"
484,NO,NO,NO,NO,YES SELF,NO,NO,NO,NO,NO,NO,NO,NO,NO,BOTH,NO,NO,NO,NO,NO,0.6000000238418579,0.0,0.3000000119209289,0.0,"\$60,000 - \$69,999","\$50,000 - \$59,999","\$40,000 - \$49,999","\$25,000 - \$29,999"
489,NO,"YES,SPOUSE","YES,SPOUSE",NO,NO,NO,NO,NO,YES SPOUSE,"YES,SELF",NO,NO,YES SELF,"YES,SELF","YES,SELF",NO,NO,NO,NO,NO,0.0,0.0,0.3000000119209289,0.0,"\$100,000 or More","\$70,000 - \$79,999","\$50,000 - \$59,999","\$30,000 - \$39,999"
490,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.3000000119209289,0.0,0.0,"\$80,000 - \$89,999","\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
491,YES SPOUSE,NO,NO,NO,YES SPOUSE,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,NO,"YES,SPOUSE",NO,NO,NO,NO,NO,0.3000000119209289,0.0,0.0,0.0,"\$25,000 - \$29,999","\$20,000 - \$29,999","Under \$20,000","Under \$20,000"
493,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.3000000119209289,0.3000000119209289,0.4799999892711639,0.0,"\$90,000 - \$99,999","\$70,000 - \$79,999","\$50,000 - \$59,999","\$40,000 - \$49,999"
498,NO,BOTH,BOTH,BOTH,NO,NO,NO,BOTH,NO,NO,NO,NO,NO,BOTH,"YES,SPOUSE",NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$40,000 - \$49,999","\$30,000 - \$39,999","\$30,000 - \$39,999","\$25,000 - \$29,999"
499,NO,"YES,SPOUSE",NO,BOTH,NO,NO,NO,NO,NO,NO,NO,NO,YES SELF,BOTH,NO,"YES, SELF",NO,NO,NO,NO,0.6000000238418579,0.6000000238418579,0.4799999892711639,0.7799999713897705,"\$40,000 - \$49,999","\$25,000 - \$29,999","\$30,000 - \$39,999","Under \$20,000"
501,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
502,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES SPOUSE,"YES,SPOUSE","YES,SPOUSE",NO,NO,NO,NO,NO,0.7799999713897705,0.0,0.8999999761581421,0.0,"\$100,000 or More","\$60,000 - \$69,999","\$30,000 - \$39,999","\$30,000 - \$39,999"
503,NO,BOTH,"YES,SELF","YES, SELF",NO,NO,NO,NO,NO,NO,NO,"YES, SELF",YES SPOUSE,BOTH,BOTH,NO,NO,NO,NO,NO,0.3000000119209289,0.4799999892711639,0.0,0.0,"\$40,000 - \$49,999","\$30,000 - \$39,999","\$25,000 - \$29,999","\$20,000 - \$29,999"
504,NO,"YES,SELF","YES,SPOUSE",NO,NO,NO,NO,NO,YES SPOUSE,"YES,SPOUSE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.3000000119209289,0.6000000238418579,0.3000000119209289,0.0,"\$70,000 - \$79,999","\$40,000 - \$49,999","\$30,000 - \$39,999","\$30,000 - \$39,999"
510,YES SPOUSE,"YES,SPOUSE","YES,SPOUSE",NO,YES SELF,NO,"YES,SELF",NO,YES SPOUSE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,1.0,0.3000000119209289,0.0,"\$60,000 - \$69,999","\$25,000 - \$29,999","\$30,000 - \$39,999","\$20,000 - \$29,999"
513,YES SELF,NO,"YES,SELF",NO,NO,NO,NO,NO,YES SPOUSE,NO,NO,NO,YES SELF,"YES,SELF",NO,NO,NO,NO,NO,NO,0.4799999892711639,0.0,0.0,0.0,"Under \$20,000","\$30,000 - \$39,999","\$30,000 - \$39,999","\$25,000 - \$29,999"
515,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$30,000 - \$39,999"
517,NO,NO,NO,NO,YES SPOUSE,NO,NO,NO,NO,"YES,SELF","YES,SELF","YES, SELF",YES SELF,"YES,SELF",NO,NO,NO,NO,NO,NO,0.699999988079071,0.0,0.0,0.0,"\$100,000 or More","\$80,000 - \$89,999","\$60,000 - \$69,999","\$40,000 - \$49,999"
532,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.0,0.0,0.0,0.0,"\$50,000 - \$59,999","\$40,000 - \$49,999","\$50,000 - \$59,999","\$40,000 - \$49,999"
537,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BOTH,NO,NO,NO,NO,NO,NO,NO,NO,NO,0.3000000119209289,0.7799999713897705,0.6000000238418579,0.3000000119209289,"\$80,000 - \$89,999","\$80,000 - \$89,999","\$60,000 - \$69,999","\$60,000 - \$69,999"
